rank,protected,nr,name,uci_team,uci_id,nat,yob,speed,split_1,split_2,split_3,split_4,time,time_from_leader,dnf,dsq,dns,points,event_name,event_type,event_year,round_type,round_category,metadata_weather,metadata_temp_deg_c,metadata_distance_km,metadata_average_speed_kmh
1,TRUE,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,55.634,46.594,155.483,190.129,220.191,244.264,0,FALSE,FALSE,FALSE,250,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
2,TRUE,8,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,56.031,47.178,157.725,192.095,221.99,246.104,1.84,FALSE,FALSE,FALSE,210,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
3,TRUE,4,ILES Finn,SPECIALIZED GRAVITY,10090907774,CAN,1999,55.278,47.186,157.321,192.284,222.414,246.253,1.989,FALSE,FALSE,FALSE,180,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
4,TRUE,9,NORTON Dakotah,MONDRAKER FACTORY RACING,10010038167,USA,1992,54.718,47.615,158.269,192.667,223.253,247.353,3.089,FALSE,FALSE,FALSE,160,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
5,TRUE,10,SHAW Luca,CANYON CLLCTV FACTORY TEAM,10008813442,USA,1996,54.857,46.795,158.95600000000002,193.71,224.059,247.943,3.679,FALSE,FALSE,FALSE,140,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
6,TRUE,7,COULANGES Benoit,DORVAL AM COMMENCAL,10008194359,FRA,1994,55.42,47.258,160.333,194.762,224.528,248.135,3.871,FALSE,FALSE,FALSE,125,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
7,FALSE,38,WILLIAMSON Greg,MADISON SARACEN FACTORY TEAM,10006909111,GBR,1992,56.397,47.931,159.31799999999998,194.978,225.126,249.075,4.811,FALSE,FALSE,FALSE,110,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
8,TRUE,3,VERGIER Loris,TREK FACTORY RACING GRAVITY,10008723112,FRA,1996,55.208,48.105,159.65699999999998,194.668,225.48,249.361,5.097,FALSE,FALSE,FALSE,95,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
9,TRUE,5,KOLB Andreas,CONTINENTAL ATHERTON,10009187092,AUT,1996,53.798,48.066,159.945,195.203,225.373,249.433,5.169,FALSE,FALSE,FALSE,80,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
10,FALSE,18,WALKER Matt,MADISON SARACEN FACTORY TEAM,10011016756,GBR,1999,53.532,47.806,160.369,194.946,226.006,250.117,5.853,FALSE,FALSE,FALSE,75,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
11,FALSE,12,DUNNE Ronan,MONDRAKER FACTORY RACING,10017006104,IRL,2002,52.269,47.27,160.767,194.793,225.739,250.532,6.268,FALSE,FALSE,FALSE,71,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
12,FALSE,14,WILLIAMS Jordan,SPECIALIZED GRAVITY,10083936306,GBR,2004,55.598,47.873,160.914,196.385,226.599,250.57,6.306,FALSE,FALSE,FALSE,68,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
13,FALSE,23,HART Danny,CONTINENTAL GT RACING,10005470073,GBR,1991,54.58,47.897,160.348,195.06,226.195,250.726,6.462,FALSE,FALSE,FALSE,65,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
14,TRUE,6,KERR Bernard,PIVOT FACTORY RACING,10006413094,GBR,1991,54.58,48.269,160.485,196.37,227.008,251.372,7.108,FALSE,FALSE,FALSE,63,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
15,FALSE,118,PIERRON Amaury,COMMENCAL/MUC-OFF BY RIDING,10008827283,FRA,1996,53.202,48.624,162.122,196.797,227.42000000000002,251.725,7.461,FALSE,FALSE,FALSE,60,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
16,FALSE,126,WILSON Reece,TREK FACTORY RACING GRAVITY,10009563271,GBR,1996,53.665,48.8,162.288,197.386,228.36599999999999,253.376,9.112,FALSE,FALSE,FALSE,58,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
17,FALSE,32,MEIER-SMITH Remy,GIANT FACTORY OFF-ROAD TEAM - DH,10049212427,AUS,2004,54.305,48.484,163.338,199.56,230.648,254.591,10.327,FALSE,FALSE,FALSE,56,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
18,FALSE,22,THIRION Rémi,GIANT FACTORY OFF-ROAD TEAM - DH,10005415715,FRA,1990,52.269,48.449,163.32999999999998,198.435,229.923,254.592,10.328,FALSE,FALSE,FALSE,54,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
19,FALSE,43,A'HERN Kye,KENDA NS BIKES UR TEAM,10043853983,AUS,2001,53.631,49.421,165.085,201.189,232.19400000000002,256.37,12.106,FALSE,FALSE,FALSE,52,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
20,FALSE,63,KIEFER Henri,CANYON CLLCTV PIRELLI,10080400048,GER,2005,52.909,49.759,165.912,202.163,233.401,257.324,13.06,FALSE,FALSE,FALSE,50,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
21,FALSE,141,MAES Martin,NA,10009453945,BEL,1997,53.399,48.979,166.871,202.581,233.529,257.764,13.5,FALSE,FALSE,FALSE,48,Fort William,World Cup,2024,Final,Men Elite,Light rain,19,3,44.214
