name,event_name,round_type,section_1,section_2,section_3,section_4,section_5,time
Dakotah Norton,Fort William,Timed Training 1,50.825,206.92400000000004,72.76599999999996,34.59200000000004,26.892999999999972,392
Loris Vergier,Fort William,Timed Training 1,48.921,219.42200000000003,34.80599999999998,32.18799999999999,26.66300000000001,362
Troy Brosnan,Fort William,Timed Training 1,49.534,469.794,38.173,31.712999999999965,26.786000000000058,616
Jordan Williams,Fort William,Timed Training 1,49.03,229.82399999999998,37.62700000000001,45.363,26.156000000000006,388
Loic Bruni,Fort William,Timed Training 1,47.878,111.711,36.96000000000001,31.783999999999992,25.667,254
Greg Williamson,Fort William,Timed Training 1,48.833,115.65299999999999,37.652000000000015,31.722999999999985,24.13900000000001,258
Loris Revelli,Fort William,Timed Training 1,48.96,115.42699999999999,37.272999999999996,32.633999999999986,25.706000000000017,260
Andreas Kolb,Fort William,Timed Training 1,49.083,307.375,299.962,33.023000000000025,26.557000000000016,716
Matt Walker,Fort William,Timed Training 1,47.236,113.36200000000002,37.922,31.763000000000005,23.716999999999985,254
Bernard Kerr,Fort William,Timed Training 1,49.85,113.625,37.47999999999999,31.989000000000033,27.055999999999983,260
Greg Minnaar,Fort William,Timed Training 1,48.22,115.31199999999998,37.87900000000002,31.293000000000006,25.295999999999992,258
Laurie Greenland,Fort William,Timed Training 1,48.408,113.683,38.531000000000006,31.294999999999987,24.083,256
Luke Meier-Smith,Fort William,Timed Training 1,48.311,116.78899999999999,37.57400000000001,31.698000000000008,24.627999999999986,259
Danny Hart,Fort William,Timed Training 1,48.655,114.001,37.68099999999998,31.98600000000002,24.676999999999992,257
Henri Kiefer,Fort William,Timed Training 1,55.245,304.15,36.71700000000004,221.89399999999995,24.994000000000028,643
Lachlan Stevens-Mcnab,Fort William,Timed Training 1,50.051,217.753,242.95700000000005,NA,NA,NA
Rémi Thirion,Fort William,Timed Training 1,51.063,167.243,36.75600000000003,33.036,25.901999999999987,314
Joe Breeden,Fort William,Timed Training 1,49.297,117.79600000000002,39.99599999999998,32.923,24.988,265
Thibaut Daprela,Fort William,Timed Training 1,49.079,337.561,871.4420000000001,33.684999999999945,26.232999999999947,1318
Douglas Vieira,Fort William,Timed Training 1,50.41,368.778,38.277000000000044,32.448999999999955,25.086000000000013,515
Dylan Levesque,Fort William,Timed Training 1,51.217,634.859,1252.495,33.27200000000016,26.156999999999925,1998
Simon Chapelet,Fort William,Timed Training 1,50.511,274.68899999999996,64.97800000000001,31.562999999999988,27.259000000000015,449
Dylan Maples,Fort William,Timed Training 1,51,173,39,33,28,324
Davide Palazzari,Fort William,Timed Training 1,51,119,40,33,27,270
Dan Slack,Fort William,Timed Training 1,50,280,37,33,25,425
Ronan Dunne,Fort William,Timed Training 1,51,180,60,34,29,354
Connor Fearon,Fort William,Timed Training 1,49,154,38,32,28,301
Thomas Estaque,Fort William,Timed Training 1,50,177,218,34,31,510
Max Hartenstern,Fort William,Timed Training 1,49,118,169,32,26,394
Léo Abella,Fort William,Timed Training 1,52,702,217,90,76,1137
Amaury Pierron,Fort William,Timed Training 1,50,117,37,32,26,262
Tyler Ervin,Fort William,Timed Training 1,51,122,39,34,26,272
Oliver Davis,Fort William,Timed Training 1,50,196,113,34,29,422
Nathan Pontvianne,Fort William,Timed Training 1,51,118,37,34,32,272
Luca Shaw,Fort William,Timed Training 1,49,225,38,33,27,372
Taylor Vernon,Fort William,Timed Training 1,50,218,39,33,25,365
Michael Hannah,Fort William,Timed Training 1,49,119,39,32,25,264
Angel Alonso Suarez,Fort William,Timed Training 1,48,606,39,32,28,753
Luke Mumford,Fort William,Timed Training 1,48,638,37,55,28,806
Oliver Zwar,Fort William,Timed Training 1,50,280,287,32,28,677
Christopher Grice,Fort William,Timed Training 1,49,122,39,33,26,269
Austin Dooley,Fort William,Timed Training 1,49,189,588,31,27,884
Dom Platt,Fort William,Timed Training 1,49,275,693,32,29,1078
Lucas Cruz,Fort William,Timed Training 1,51,125,39,33,26,274
Lino Lehmann,Fort William,Timed Training 1,49.978,122.29899999999998,40.608000000000004,33.366000000000014,26.748999999999995,273
Tegan Cruz,Fort William,Timed Training 1,50.991,178.726,37.504999999999995,32.906000000000006,25.872000000000014,326
Preston Williams,Fort William,Timed Training 1,51.352,275.678,40.394000000000005,218.86800000000005,25.70799999999997,612
Samuel Blenkinsop,Fort William,Timed Training 1,49.672,119.81300000000002,39.85499999999999,32.656000000000006,25.00399999999999,267
Kirk Mcdowall,Fort William,Timed Training 1,51.609,126.291,39.108000000000004,33.87299999999999,26.119,277
Tuhoto-Ariki Pene,Fort William,Timed Training 1,51.762,220.45499999999998,136.83500000000004,33.738,29.20999999999998,472
Thibault Laly,Fort William,Timed Training 1,51.171,230.32600000000002,67.08799999999997,32.89100000000002,25.524,407
Josh Turner,Fort William,Timed Training 1,75.248,121.29099999999998,40.28800000000001,33.33699999999999,25.836000000000013,296
Remy Meier-Smith,Fort William,Timed Training 1,168.03,157.10999999999999,38.07400000000001,32.88100000000003,24.904999999999973,421
Antoine Vidal,Fort William,Timed Training 1,85.29599999999999,246.365,147.531,38.83000000000004,30.977999999999952,549
Jacob Dickson,Fort William,Timed Training 1,49.976,221.07,174.16000000000003,48.15299999999996,48.64100000000002,542
Gaëtan Vige,Fort William,Timed Training 1,52.768,295.077,458.21299999999997,33.472999999999956,27.46900000000005,867
Wyn Masters,Fort William,Timed Training 1,51.833,331.155,39.78399999999999,33.61700000000002,27.61099999999999,484
Matthew Walker,Fort William,Timed Training 1,49.993,123.92099999999999,38.84,32.495000000000005,24.751000000000005,270
Noel Niederberger,Fort William,Timed Training 1,NA,NA,38.94900000000001,32.448999999999984,25.65100000000001,270
Simen Smestad,Fort William,Timed Training 1,51.563,384.908,277.42100000000005,33.152999999999906,25.95500000000004,773
Johan Garcin,Fort William,Timed Training 1,52.373,471.013,196.08000000000004,33.06899999999996,25.465000000000032,778
Harry Molloy,Fort William,Timed Training 1,52.79,234.092,552.296,32.86900000000003,26.952999999999975,899
Mark Wallace,Fort William,Timed Training 1,50.844,236.39499999999998,38.25400000000002,33.403999999999996,27.10300000000001,386
Daniel Liberal Castellanos,Fort William,Timed Training 1,52.748,602.4649999999999,38.91100000000006,33.730999999999995,28.144999999999982,756
Evan Medcalf,Fort William,Timed Training 1,52.96,189.46099999999998,37.81,33.89999999999998,26.869000000000028,341
Brook Macdonald,Fort William,Timed Training 1,49.614,166.455,84.35300000000001,31.998999999999967,26.579000000000008,359
Loïc Martin,Fort William,Timed Training 1,53.808,219.10500000000002,39.16399999999999,33.91399999999999,28.009000000000015,374
Kimi Viardot,Fort William,Timed Training 1,57.557,121.37599999999999,779.487,34.03399999999999,28.54600000000005,1021
Raphael Iniguez,Fort William,Timed Training 1,50.315,337.994,128.37999999999994,87.207,53.10400000000004,657
Joshua Arcus,Fort William,Timed Training 1,51.871,NA,NA,NA,NA,NA
Jack Reading,Fort William,Timed Training 1,183.898,1175.42,455.50700000000006,33.52399999999989,27.651000000000067,1876
Toby Meek,Fort William,Timed Training 1,51.879,122.882,40.40299999999999,34.40100000000001,26.435000000000002,276
Nico Lamm,Fort William,Timed Training 1,102.925,NA,NA,NA,NA,NA
Gabriel Neron,Fort William,Timed Training 1,52.836,123.461,39.82500000000002,34.13799999999998,25.74000000000001,276
James Macdermid,Fort William,Timed Training 1,51.747,160.02300000000002,NA,NA,NA,NA
Neko Mulally,Fort William,Timed Training 1,49.064,606.505,38.41300000000001,32.80799999999999,26.210000000000036,753
William Hynes,Fort William,Timed Training 1,52.308,239.43600000000004,823.5189999999999,33.31000000000017,26.426999999999907,1175
Finn Iles,Fort William,Timed Training 1,49.401,254.197,35.72800000000001,32.25,25.423999999999978,397
Thomas Ollier,Fort William,Timed Training 1,54.166,208.166,582.427,34.831999999999994,27.408999999999992,907
Benjamin Fouillit,Fort William,Timed Training 1,54.967,476.808,275.942,36.13300000000004,27.149999999999977,871
Nico Arnold,Fort William,Timed Training 1,50.971,343.996,40.68700000000001,35.55500000000001,28.790999999999997,500
Charles Murray,Fort William,Timed Training 1,69.707,186.078,39.49999999999997,33.085000000000036,26.629999999999995,355
Nuno Reis,Fort William,Timed Training 1,96.539,236.039,38.67100000000005,35.59100000000001,28.159999999999968,435
Arnau Miro Graslaub,Fort William,Timed Training 1,53.064,217.98300000000003,81.73799999999994,35.01800000000003,27.197000000000003,415
Florian Sirieix,Fort William,Timed Training 1,55.416,258.90500000000003,441.033,119.197,27.448999999999955,902
Ross Ennis,Fort William,Timed Training 1,54.509,171.61200000000002,41.059,35.78699999999998,29.033000000000015,332
